id,name,routeNumber,startStop,endStop,totalDistance,stops
1,C-44 Express,R-C44,MAROL DEPOT,MULUND CHECK NAKA,25.0,MAROL DEPOT;E.S.I.S HOSPITAL;GAUTAM NAGAR ANDHERI;ORKAY MILLS;SEEPZ BUS STATION;SEEPZ VILLAGE;RELIANCE ENERGY TRAINING CENTRE;I.E.S SCHOOL JVLR;MILIND NAGAR JVLR;DR AMBEDKAR UDYAN POWAI;HIRANANDANI;PUNCH KUTIR;IIT MAIN GATE;IIT MARKET;GANDHI NAGAR VIKHROLI;DOCKYARD COLONY;MANGATRAM PETROL PUMP;BHANDUP STATION;MULUND CHECK NAKA
2,C-50 Express,R-C50,WORLD TRADE CENTRE,VASHI BUS STATION,22.0,WORLD TRADE CENTRE;PRESIDENT HOTEL;BADHWAR PARK;YB CHAVAN PRATISHTHAN;HUTATMA CHOWK;CST;CARNAC BUNDER;WADI BUNDER;DEONAR DEPOT;TELECOM FACTORY;RAJ KAPOOR CHOWK;ANUSHAKTI NAGAR;MANKHURD;VASHI VILLAGE;APNA BAZAR VASHI;VASHI BUS STATION
3,C-53 Express,R-C53,GHATKOPAR DEPOT,KALAMBOLI,34.4,GHATKOPAR DEPOT;RAMABAI NAGAR;RTO OFFICE GHATKOPAR;JIJAMATA BHONSLE MARG;SHIVAJI NAGAR;BMC COMPOST PLANT;MOHITE PATIL NAGAR;MANKHURD OCTROI NAKA;VASHI VILLAGE;APNA BAZAR;VASHI BUS STATION;TURBHE NAKA;NERUL NAKA;URAN PHATA;CBD BELAPUR;KHARGHAR;KALAMBOLI
4,C-55 Express,R-C55,BANDRA BUS STATION,VASHI BUS STATION,20.0,BANDRA BUS STATION;BANDRA TALAO;STATION ROAD;KALA NAGAR;BKC;INCOME TAX OFFICE BKC;TATA COLONY;ICICI BANK BKC;DIAMOND MARKET;KAPADIA NAGAR;KURLA DEPOT;SAHAKAR NAGAR;CHHEDA NAGAR;SHIVAJI NAGAR;MANKHURD;VASHI VILLAGE;APNA BAZAR;VASHI BUS STATION
5,C-60 Express,R-C60,DEONAR DEPOT,BORIVALI STATION,35.0,DEONAR DEPOT;AGARWADI;MANKHURD;MOHITE PATIL NAGAR;BMC COMPOST PLANT;SHIVAJI NAGAR;RTO OFFICE GHATKOPAR;RAMABAI NAGAR;VIKHROLI;KANJURMARG;IIT MARKET;POWAI;SEEPZ;ANDHERI;JOGESHWARI;GOREGAON;MALAD;BORIVALI STATION
6,C-61 Express,R-C61,MULUND DEPOT,MIRA ROAD,29.2,MULUND DEPOT;MULUND STATION;DHANVANTARI HOSPITAL;MULUND SONAPUR;MP CHOWK MULUND;TEEN HATH NAKA;MAJIWADA;KASAR VADAVLI;GHODBUNDER;MIRA ROAD
7,C-71 Express,R-C71,MAHIM,MIRA ROAD,32.6,MAHIM;MAHIM PHATAK;MAHIM BUS STATION;KALA NAGAR;VAKOLA;VILE PARLE;DOMESTIC AIRPORT;ANDHERI;GOREGAON;MALAD;DAHISAR;MIRA ROAD
8,210 Express,R-210,RK STUDIO,BORIVALI,30.0,RK STUDIO;CHEMBUR;SION;DHARAVI;BANDRA;KHAR;SANTACRUZ;JUHU;ANDHERI;JOGESHWARI;GOREGAON;MALAD;KANDIVALI;BORIVALI
9,373 Express,R-373,BANDRA RECLAMATION,GHATKOPAR DEPOT,18.0,BANDRA RECLAMATION;BANDRA;KALA NAGAR;SION;CHEMBUR;GHATKOPAR DEPOT
10,6 Express,R-6,MANTRALAYA,DR AMBEDKAR UDYAN,20.6,MANTRALAYA;OLD CUSTOM HOUSE;RBI FORT;SWAMI D SARASWATI CHOWK;CST;CARNAC BUNDER;WADI BUNDER;ACHARYA VIDYANIKETAN;HP NAGAR;BPCL SPORTS CLUB MAHUL;SHANKAR MANDIR;VASHI NAKA;AZIZ BAUG;MARAWALI CHURCH;CHEMBUR COLONY;NAVJEEVAN SOCIETY;BASANT PARK;DR AMBEDKAR UDYAN
